题记序号,题记名称,时间,公元纪年,地点,窟位,造像者人数,性别,所造佛像名称,出资者,造像者身份表述,阶层,社邑组织,实践行为（一级编码）,实践行为（二级编码）,祈愿内容（一级编码）,祈愿内容（二级编码）,造像原因（一级编码）,造像原因（二级编码）,关联历史事件,经文,妆造类型,宗教类型,宗派倾向(主宗派倾向；副宗派倾向）,备注
291,玉井佛尔崖01龛造像记,唐上元元年（760 年）、永泰元年（765 年）,760、765,四川省巴中市玉井乡玉女村玉女寨何家园子右侧玉井佛尔崖 01 龛,玉井佛尔崖 01 龛,「不详」,[不详],不详,「不详」,无,[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
292,玉井佛尔崖03 龛造像记,唐天宝六载（747 年）,747,四川省巴中市玉井乡玉女村玉女寨何家园子右侧玉井佛尔崖 03 龛,玉井佛尔崖 03 龛,「不详」,[不详],不详,「不详」,手作,商贾匠人,非社邑,造像制作、造像制作、,造塔建幢、镌刻雕造,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
293,玉井佛尔崖04 龛周□造像记,中唐,756-835,四川省巴中市玉井乡玉女村玉女寨何家园子右侧玉井佛尔崖 04 龛,玉井佛尔崖 04 龛,1,未知（题记模糊）,菩萨像,周□,弟子,虔诚弟子,非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
294,玉井佛尔崖周□造像记,中唐,756-835,四川省巴中市玉井乡玉女村玉女寨何家园子右侧玉井佛尔崖,06 龛,1,未知（题记模糊）,菩萨像（菩萨）,周□,弟子,虔诚弟子,非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
295,玉井佛尔崖造像记,唐天宝六载（747）,747,四川省巴中市玉井乡玉女村玉女寨何家园子右侧玉井佛尔崖,07 龛,[不详],[不详],[不详]（[不详]）,[不详],手作匠人,商贾匠人,非社邑,造像制作、,镌刻雕造,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
296,玉井佛尔崖勾神远造像记,唐永泰元年（765）,765,四川省巴中市玉井乡玉女村玉女寨何家园子右侧玉井佛尔崖,09 龛,1,男,[不详]（[不详]）,勾神远,利州镌龛傅士,商贾匠人,非社邑,造像制作、,镌刻雕造,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
297,玉井佛尔崖勾□□造像记,唐上元元年（760）,760,四川省巴中市玉井乡玉女村玉女寨何家园子右侧玉井佛尔崖,09 龛,1,未知（题记模糊）,[不详]（[不详]）,勾□□,[不详],[不详],非社邑,纪念庆赞、,立碑题铭,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
298,赵家湾□□绪造像记,初唐,618-649,四川广元赵家湾,03 龛,1,未知（题记模糊）,天尊、二胁侍、二狮子（天尊）,□□绪,高玄弟子,虔诚弟子(道教),非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,道教,无法判定,
299,赵家湾张□□造像记,初唐,618-649,四川广元赵家湾,04 龛,1,男,天尊、二胁侍、二狮子（天尊）,张□□,弟子,虔诚弟子(道教),非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,道教,无法判定,
300,赵家湾多人造像记,初唐,618-649,四川广元赵家湾,05 龛,[不详],[不详],天尊、二胁侍、二狮子（天尊）,□□、同造者,弟子,虔诚弟子(道教),非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,道教,无法判定,
301,赵家湾李晚士造像记,初唐,618-649,四川广元赵家湾,06 龛,1,男,天尊、二狮子（天尊）,李晚士,弟子,虔诚弟子(道教),非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,道教,无法判定,
302,赵家湾天尊二狮造像记-1,初唐,618-649,四川广元赵家湾,010 龛,1,未知（题记模糊）,天尊、二狮子（天尊）,□□,弟子,虔诚弟子(道教),非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,道教,无法判定,
303,赵家湾天尊造像记,初唐,618-649,四川广元赵家湾,011 龛,[不详],[不详],天尊（天尊）,[不详],[不详],[不详],非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,道教,无法判定,
304,赵家湾天尊二狮造像记-2,初唐,618-649,四川广元赵家湾,013 龛,1,未知（题记模糊）,天尊、二狮子（天尊）,□□□□□□□□,弟子,虔诚弟子(道教),非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,道教,无法判定,
305,赵家湾杨□造像记,初唐,618-649,四川广元赵家湾,014 龛,1,女,天尊、二狮子（天尊）,杨□,女弟子,虔诚弟子(道教),非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,道教,无法判定,
306,环梁子王大㝎造像记,初唐,618-649,四川广元环梁子,01 龛,1,男,一佛、二弟子、二胁侍菩萨、二狮子（佛）,王大㝎,[不详],虔诚弟子,非社邑,造像制作、,镌刻雕造,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
307,环梁子任弘造像记,唐贞观二十一年（647）,647,四川广元环梁子,02 龛,1,男,释迦牟尼像、二弟子、二胁侍菩萨、二狮子（佛）,任弘□,弟子,虔诚弟子,非社邑,造像制作、造像制作、,发心造像、镌刻雕造,超度往生,往生净土,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
308,环梁子永乐造像记,初唐,618-649,四川广元环梁子,04 龛,1,未知（题记模糊）,一佛、二弟子、二胁侍菩萨、二狮子（佛）,□永乐,[不详],虔诚弟子,非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
309,环梁子任玄荣造像记,初唐,618-649,四川广元环梁子,07 龛,1,男,一佛、二弟子、二胁侍菩萨、二狮子（佛）,任玄荣,[不详],虔诚弟子,非社邑,造像制作、,镌刻雕造,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
310,环梁子王宝宅造像记,初唐（贞观）、唐景云二年（711）,618-649、711,四川广元环梁子,017 龛,5,5 男,二菩萨并立（菩萨）,王宝宅、任□□、任永安、张剑、任永乐、杨穆,弟子、礼拜者,虔诚弟子,非社邑,游观题咏、,游观题名,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造 + 题记,佛教,无法判定,
311,佛爷岩贾三造像记,唐开元十八年（730）,730,四川广元计划佛爷岩,02 龛,[不详],[不详],弥勒佛、二比丘、二胁侍菩萨、二力士、二狮子（佛）,[不详]、贾三□,弟子,虔诚弟子(家庭合署),非社邑,造像制作、造像制作、,发心造像、镌刻雕造,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,弥勒体系,
312,王家坡天尊二胁侍二狮造像记,盛唐,713-755,四川广元王家坡,04 龛,[不详],[不详],天尊、二胁侍菩萨、二狮子（天尊）,[不详],[不详],[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,道教,无法判定,
313,王家坡天尊造像记,盛唐,713-755,四川广元王家坡,010 龛,[不详],[不详],天尊（天尊）,[不详],[不详],[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,道教,无法判定,
314,王家坡天尊二胁侍造像记,盛唐,713-755,四川广元王家坡,011 龛,[不详],[不详],天尊、二胁侍真人像（天尊）,[不详],[不详],[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,道教,无法判定,
315,王家坡坐佛造像记-1,唐开元年间,713-741,四川广元王家坡,012 龛,1,未知（题记模糊）,坐佛（佛）,[不详],[不详],虔诚弟子,非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
316,王家坡坐佛造像记-2,唐开元十五年（727）,727,四川广元王家坡,014 龛,1,未知（题记模糊）,坐佛（佛）,[不详],弟子,虔诚弟子,非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
317,碗泉村佛爷岩造像记,初唐,618-649,四川广元碗泉村佛爷岩,04 龛,[不详],[不详],天尊、二胁侍真人像（天尊）,[不详],[不详],[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,道教,无法判定,
318,老君庙志造像记,初唐,618-649,四川广元老君庙,04 龛,1,男,天尊（天尊）,□志□,弟子,虔诚弟子(道教),非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,道教,无法判定,
319,锦屏山杨糠能造像记,盛唐,713-755,四川广元锦屏山,05 龛,1,男,天尊、二胁士真人像、侧壁二立像、二狮子；附龛 6 个（前 3 龛各 1 坐像、第 4 龛 2 象、5/6 龛各双身像）（天尊）,杨糠能,弟子,虔诚弟子(道教),非社邑,供养施舍、,设斋供养,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,道教,无法判定,
320,天马山杨糠能造像记,盛唐,713-755,四川广元天马山,11 龛,[不详],未知（题记模糊）,主尊二胁侍一狮子像、附龛一佛二弟子二胁侍菩萨二力士、附龛一佛二胁侍菩萨二力士,杨糠能、张□、沙诃惠觉、王□□等,弟子、比丘、检校僧,混合群体(虔诚弟子、僧尼个体),非社邑,造像制作、纪念庆赞、,镌刻雕造、立碑题铭,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,弥勒体系,
321,赵家坡造像记,初唐,618-649,四川广元赵家坡,02 龛,[不详],[不详],[不详],[不详],[不详],[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,道教,无法判定,
322,赵家坡天尊造像记,初唐,618-649,四川广元赵家坡,06 龛,[不详],[不详],天尊主尊、二弟子形道人像、二菩萨装真人胁侍像、二真人立像、一女道立像、三头六臂阿修罗像、三立像、一神将形立像、二狮子像,[不详],[不详],[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,道教,无法判定,
323,阳岳寺王戒庆造像记,唐天宝,742-756,四川广元阳岳寺千佛崖,02 龛,2,2 男,西方净土变相（上段两组三尊、中段主尊二胁侍菩萨等、下段主尊三十身小型尊像）、3 附龛俗人立像 / 供养人像 / 菩萨立像,王戒庆,崇法弟子,虔诚弟子,非社邑,造像制作、造像制作、纪念庆赞、,发心造像、镌刻雕造、立碑题铭,信息不详,信息不详,报恩酬德,报佛恩、修证悟道,事件未提,[不详],新造,佛教,净土,
324,阳岳寺比丘圆造像记,唐天宝十五年（756 年）,756,四川广元阳岳寺千佛崖,03 龛,[不详],未知（题记模糊）,三尊二胁侍、七排小型佛坐像（五十三佛）,比丘□圆、门徒□等,比丘、门徒,僧团僧伽,非社邑,供养施舍、纪念庆赞、,看经念诵、设斋表赞,修证悟道,忏悔业障 (除四重五逆及谤方等经),修证悟道,忏悔业障,事件未提,五十三佛名经(此五十三佛名者乃是过去久远旧住娑婆世界成就众生而般涅槃…… 是故应当皈依敬礼),新造,佛教,净土,另有版本
325,阳岳寺比丘圆女七娘造像记,唐天宝十三年（754 年）,754,四川广元阳岳寺千佛崖,05 龛,至少1人, 女,一佛二胁侍菩萨、人物侧跪像、若干小龛坐佛像,比丘□圆、女七娘等,比丘、信女,混合群体(虔诚弟子、僧尼个体),非社邑,纪念庆赞、,设斋表赞,信息不详,信息不详,信息不详,信息不详,事件未提,宝集佛相关经文(南无宝集佛、无垢光明佛、无边无垢佛、得大无畏佛、燃灯火佛、宝声如来、不动佛、卢舍那光明佛、卢舍那镜像佛、大光明佛、宝胜佛),新造,佛教,无法判定,
326,木门寺含二力士造像记,隋～唐初,581-649,四川广元木门寺,05 龛,[不详],[不详],一佛二弟子二菩萨、二力士,[不详],[不详],[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
327,木门寺含二狮子造像记,隋～唐初,581-649,四川广元木门寺,09 龛,[不详],[不详],一主尊二胁侍菩萨、二狮子像,[不详],[不详],[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
328,木门寺造像记,唐,618-907,四川广元木门寺,012 龛,[不详],[不详],一佛二胁侍菩萨,[不详],[不详],[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
329,金印山佛儿岩造像记,中晚唐,756-907,四川广元金印山佛儿岩,01 龛,至少4人,3 男1女,一佛二菩萨,[不详],功德户、尼、军事衙前□使,混合群体(在职官员、僧尼个体、虔诚弟子),非社邑,造像制作、造像制作、纪念庆赞、,发心造像、组织营建、立碑题铭,超度往生,往生净土 (众□往生西方极乐世界),超度荐亡,亡亲超荐,事件未提,[不详],新造,佛教,净土,
330,茂县比丘释玄嵩造像记,齐永明元年（483 年）,483,四川省阿坝藏族羌族自治州茂县,[不详],5,5 男,无量寿佛、当来弥勒佛、千佛、禅僧像,比丘释玄嵩、比丘释僧成、镇主性庄丘,比丘、镇主,混合群体(封爵贵族、僧尼个体),非社邑,造像制作、造像制作、纪念庆赞、,发心造像、镌刻雕造、立碑题铭,超度往生,龙华三会 (龙华三会),祈福禳灾,普度众生、报恩酬德,事件未提,诸行无常 是生灭法 生灭灭已 寂灭为乐,新造,佛教,"净土,弥勒体系",
331,西安路比丘释法海造弥勒像记,齐永明八年（490 年）,490,四川省成都市西安路,[不详],1,男,弥勒像,比丘释法海、释法海之母,比丘、信女,混合群体(虔诚弟子、僧尼个体),非社邑,造像制作、造像制作、,发心造像、镌刻雕造,超度往生,龙华三会 (龙华三会),超度荐亡,超度荐亡,家庭变故(亡父),[不详],新造,佛教,弥勒体系,
332,商业街释法明造像记,齐建武二年（495 年）,495,四川省成都市商业街,[不详],1,男,观音成佛像,荆州道人释法明,道人,虔诚弟子,非社邑,造像制作、造像制作、,发心造像、镌刻雕造,超度往生,龙华三会 (弥勒三会),祈福禳灾,普度众生、报恩酬德,事件未提,[不详],新造,佛教,弥勒体系；观音体系,
333,西安路比丘释法海造无量寿像记,梁天监三年（504 年）,504,四川省成都市西安路,[不详],1,男,无量寿像（一佛二菩萨二弟子二药叉）,比丘释法海,比丘,僧尼个体,非社邑,造像制作、造像制作、,发心造像、镌刻雕造,超度往生,往生净土 (上升天堂),超度荐亡,亡亲超荐、普度众生,家庭变故(亡母、亡姊),[不详],新造,佛教,净土,
